Land-Ocean: Northern Hemispheric Means,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.34,-0.49,-0.21,-0.28,-0.04,-0.14,-0.16,-0.24,-0.21,-0.3,-0.41,-0.38,-0.27,***,***,-0.18,-0.18,-0.31
1881,-0.29,-0.21,-0.02,0.02,0.05,-0.31,0.1,-0.03,-0.25,-0.42,-0.35,-0.21,-0.16,-0.18,-0.29,0.01,-0.08,-0.34
1882,0.28,0.23,0.04,-0.3,-0.23,-0.28,-0.26,-0.13,-0.22,-0.51,-0.31,-0.66,-0.2,-0.16,0.1,-0.17,-0.22,-0.35
1883,-0.56,-0.64,-0.13,-0.27,-0.23,-0.11,-0.01,-0.2,-0.3,-0.14,-0.41,-0.14,-0.26,-0.31,-0.62,-0.21,-0.11,-0.28
1884,-0.15,-0.08,-0.61,-0.58,-0.35,-0.41,-0.42,-0.48,-0.43,-0.44,-0.57,-0.46,-0.41,-0.39,-0.12,-0.51,-0.44,-0.48
1885,-1,-0.44,-0.22,-0.47,-0.58,-0.44,-0.34,-0.4,-0.39,-0.36,-0.37,-0.1,-0.43,-0.46,-0.64,-0.43,-0.39,-0.37
1886,-0.74,-0.83,-0.71,-0.36,-0.32,-0.37,-0.14,-0.42,-0.32,-0.3,-0.38,-0.2,-0.42,-0.42,-0.56,-0.46,-0.31,-0.34
1887,-1.07,-0.69,-0.43,-0.37,-0.24,-0.2,-0.23,-0.53,-0.2,-0.48,-0.26,-0.42,-0.43,-0.41,-0.66,-0.35,-0.32,-0.31
1888,-0.48,-0.6,-0.63,-0.21,-0.14,-0.02,0.01,-0.2,-0.18,-0.03,0,-0.23,-0.23,-0.24,-0.5,-0.33,-0.07,-0.07
1889,-0.26,0.31,-0.02,0.17,-0.03,-0.06,-0.07,-0.2,-0.3,-0.41,-0.61,-0.54,-0.17,-0.14,-0.06,0.04,-0.11,-0.44
1890,-0.63,-0.56,-0.46,-0.24,-0.35,-0.15,-0.23,-0.38,-0.34,-0.09,-0.62,-0.46,-0.38,-0.38,-0.58,-0.35,-0.25,-0.35
1891,-0.47,-0.68,-0.16,-0.35,-0.15,-0.12,-0.12,-0.13,-0.08,-0.28,-0.52,-0.04,-0.26,-0.29,-0.54,-0.22,-0.12,-0.29
1892,-0.49,-0.16,-0.67,-0.45,-0.24,-0.06,-0.38,-0.33,-0.2,-0.28,-0.82,-0.66,-0.39,-0.34,-0.23,-0.45,-0.25,-0.44
1893,-1.52,-0.97,-0.32,-0.3,-0.43,-0.19,-0.14,-0.33,-0.28,-0.28,-0.34,-0.6,-0.48,-0.48,-1.05,-0.35,-0.22,-0.3
1894,-0.92,-0.42,-0.22,-0.54,-0.26,-0.41,-0.21,-0.26,-0.32,-0.28,-0.47,-0.35,-0.39,-0.41,-0.65,-0.34,-0.29,-0.36
1895,-0.7,-0.81,-0.49,-0.18,-0.3,-0.2,-0.18,-0.27,-0.06,-0.09,-0.12,-0.23,-0.3,-0.31,-0.62,-0.32,-0.22,-0.09
1896,-0.35,-0.18,-0.5,-0.6,-0.16,0.08,0,-0.11,-0.12,0.05,-0.2,-0.21,-0.19,-0.19,-0.25,-0.42,-0.01,-0.09
1897,-0.4,-0.42,-0.4,-0.05,0.13,-0.06,0.04,-0.06,-0.06,-0.14,-0.26,-0.27,-0.16,-0.16,-0.34,-0.11,-0.03,-0.15
1898,0.07,-0.42,-0.78,-0.27,-0.26,-0.07,-0.1,-0.16,-0.16,-0.36,-0.5,-0.26,-0.27,-0.27,-0.21,-0.44,-0.11,-0.34
1899,-0.11,-0.64,-0.58,-0.23,-0.24,-0.35,-0.16,-0.06,-0.04,0.05,0.37,-0.45,-0.2,-0.19,-0.34,-0.35,-0.19,0.13
1900,-0.6,-0.13,0.07,-0.09,-0.03,-0.08,-0.1,-0.07,-0.01,0.25,-0.1,-0.01,-0.08,-0.11,-0.39,-0.02,-0.09,0.04
1901,-0.32,-0.08,0.29,0.12,-0.11,0.02,0.02,-0.15,-0.26,-0.31,-0.21,-0.4,-0.12,-0.08,-0.14,0.1,-0.03,-0.26
1902,-0.16,0.03,-0.37,-0.37,-0.37,-0.34,-0.31,-0.27,-0.32,-0.28,-0.44,-0.58,-0.32,-0.3,-0.18,-0.37,-0.31,-0.35
1903,-0.2,0.13,-0.13,-0.45,-0.41,-0.44,-0.43,-0.53,-0.48,-0.48,-0.41,-0.55,-0.36,-0.37,-0.22,-0.33,-0.47,-0.45
1904,-0.76,-0.58,-0.39,-0.48,-0.43,-0.47,-0.58,-0.53,-0.62,-0.38,-0.07,-0.34,-0.47,-0.49,-0.63,-0.44,-0.53,-0.36
1905,-0.41,-0.81,-0.22,-0.45,-0.28,-0.26,-0.21,-0.22,-0.18,-0.26,0.1,-0.16,-0.28,-0.3,-0.52,-0.31,-0.23,-0.11
1906,-0.55,-0.52,-0.2,0.05,-0.24,-0.11,-0.26,-0.16,-0.24,-0.17,-0.39,0.04,-0.23,-0.25,-0.41,-0.13,-0.18,-0.27
1907,-0.57,-0.71,-0.29,-0.44,-0.58,-0.5,-0.39,-0.38,-0.4,-0.19,-0.55,-0.57,-0.47,-0.41,-0.42,-0.44,-0.42,-0.38
1908,-0.54,-0.27,-0.7,-0.47,-0.29,-0.3,-0.35,-0.57,-0.3,-0.44,-0.62,-0.55,-0.45,-0.45,-0.46,-0.49,-0.41,-0.46
1909,-0.93,-0.45,-0.67,-0.64,-0.49,-0.5,-0.44,-0.34,-0.37,-0.33,-0.11,-0.57,-0.49,-0.48,-0.64,-0.6,-0.43,-0.27
1910,-0.34,-0.38,-0.49,-0.41,-0.3,-0.46,-0.39,-0.4,-0.43,-0.3,-0.58,-0.81,-0.44,-0.42,-0.43,-0.4,-0.42,-0.44
1911,-0.7,-0.59,-0.63,-0.45,-0.45,-0.33,-0.36,-0.42,-0.38,-0.19,-0.2,-0.3,-0.41,-0.46,-0.7,-0.51,-0.37,-0.25
1912,-0.35,-0.16,-0.6,-0.15,-0.12,-0.12,-0.51,-0.76,-0.81,-0.84,-0.5,-0.56,-0.46,-0.43,-0.27,-0.29,-0.46,-0.72
1913,-0.56,-0.64,-0.45,-0.49,-0.54,-0.49,-0.52,-0.46,-0.43,-0.39,-0.14,0.12,-0.42,-0.47,-0.59,-0.5,-0.49,-0.32
1914,0.18,-0.1,-0.35,-0.38,-0.18,-0.22,-0.33,-0.27,-0.3,0,-0.21,-0.05,-0.18,-0.17,0.07,-0.3,-0.28,-0.17
1915,-0.26,-0.09,-0.23,0.07,-0.01,-0.12,-0.09,-0.15,-0.21,-0.27,-0.03,-0.25,-0.14,-0.12,-0.14,-0.06,-0.12,-0.17
1916,-0.09,-0.16,-0.38,-0.34,-0.35,-0.5,-0.33,-0.37,-0.49,-0.35,-0.47,-1.13,-0.41,-0.34,-0.17,-0.36,-0.4,-0.43
1917,-0.54,-0.68,-0.75,-0.64,-0.73,-0.48,-0.32,-0.4,-0.3,-0.63,-0.31,-1.05,-0.57,-0.58,-0.78,-0.71,-0.4,-0.41
1918,-0.69,-0.46,-0.26,-0.58,-0.49,-0.45,-0.34,-0.36,-0.25,-0.04,-0.22,-0.56,-0.39,-0.43,-0.74,-0.44,-0.38,-0.17
1919,-0.38,-0.41,-0.37,-0.23,-0.42,-0.39,-0.33,-0.3,-0.19,-0.09,-0.47,-0.56,-0.35,-0.35,-0.45,-0.34,-0.34,-0.25
1920,-0.15,-0.29,0.01,-0.21,-0.21,-0.26,-0.25,-0.32,-0.35,-0.4,-0.45,-0.71,-0.3,-0.29,-0.33,-0.14,-0.28,-0.4
1921,0.19,-0.09,-0.11,-0.17,-0.24,-0.14,-0.02,-0.28,-0.17,0,-0.09,-0.13,-0.11,-0.15,-0.2,-0.17,-0.15,-0.09
1922,-0.37,-0.63,-0.11,-0.16,-0.19,-0.16,-0.28,-0.37,-0.43,-0.32,-0.13,-0.14,-0.27,-0.27,-0.38,-0.15,-0.27,-0.29
1923,-0.18,-0.46,-0.39,-0.52,-0.39,-0.24,-0.29,-0.27,-0.17,0.07,0.16,0.1,-0.22,-0.24,-0.26,-0.43,-0.27,0.02
1924,-0.28,-0.21,0.03,-0.28,-0.06,-0.19,-0.22,-0.27,-0.22,-0.24,0.11,-0.36,-0.18,-0.14,-0.13,-0.1,-0.23,-0.12
1925,-0.29,-0.38,-0.23,-0.16,-0.22,-0.25,-0.25,-0.19,-0.04,-0.08,0.22,0.22,-0.14,-0.19,-0.34,-0.2,-0.23,0.03
1926,0.53,0.19,0.38,-0.11,-0.23,-0.19,-0.19,-0.05,-0.02,0.07,0.17,-0.29,0.02,0.06,0.32,0.01,-0.15,0.08
1927,-0.29,-0.08,-0.47,-0.27,-0.13,-0.13,-0.07,-0.16,0.03,0.24,0.09,-0.37,-0.13,-0.13,-0.22,-0.29,-0.12,0.12
1928,0.27,0.09,-0.23,-0.32,-0.17,-0.31,-0.1,-0.19,-0.16,-0.08,0.05,-0.04,-0.1,-0.13,0,-0.24,-0.2,-0.06
